ecmen_public_time,Normal_vwap,VALUE_hdd,10Y_NORMAL_hdd,Sum_Value_hdd,Delta_Full_hdd,Delta_Sub_hdd,VALUE_cdd,10Y_NORMAL_cdd,Sum_Value_cdd,Delta_Full_cdd,Delta_Sub_cdd,Month
2015-01-28 01:40:00,1.006,29.860,29.870,457.440,-1.940,0.600,0.010,0.220,0.890,-0.040,0.000,1
2015-01-29 01:40:00,0.946,27.870,29.740,462.880,-0.060,2.030,0.010,0.220,0.770,-0.050,-0.130,1
2015-01-30 01:40:00,1.005,31.690,29.670,454.050,-15.930,-5.050,0.040,0.230,0.750,-0.190,-0.160,1
2015-02-02 01:40:00,1.015,35.620,29.480,442.860,-12.570,-8.940,0.120,0.260,0.570,0.130,0.030,2
2015-02-03 01:40:00,1.020,35.890,29.320,436.360,-14.110,-7.140,0.030,0.270,0.420,0.080,-0.020,2
2015-02-04 01:40:00,0.971,32.040,29.190,433.880,-5.880,-1.650,0.100,0.290,0.560,0.080,0.060,2
2015-02-05 01:40:00,0.987,37.220,29.080,442.070,5.360,5.690,0.080,0.290,0.550,-0.020,-0.030,2
2015-02-06 01:40:00,0.993,33.350,28.980,434.580,1.950,5.040,0.020,0.290,0.470,0.010,-0.030,2
2015-02-09 01:40:00,0.989,26.740,28.580,465.870,0.120,-1.100,0.080,0.330,0.470,-0.140,-0.120,2
2015-02-10 01:40:00,1.024,28.850,28.420,471.390,2.950,1.150,0.010,0.340,0.410,-0.010,-0.040,2
2015-02-11 01:40:00,0.998,28.810,28.320,492.530,10.950,8.000,0.010,0.350,0.520,-0.010,-0.040,2
2015-02-12 01:40:00,0.953,34.230,28.040,505.540,3.650,4.330,0.030,0.350,0.600,0.020,-0.040,2
2015-02-13 01:40:00,1.046,35.720,27.850,495.120,-10.100,-4.800,0.000,0.350,0.560,-0.040,-0.030,2
2015-02-17 01:40:00,0.970,39.020,27.060,495.160,1.060,2.360,0.160,0.410,1.230,-0.030,0.020,2
2015-02-18 01:40:00,1.011,40.350,26.820,489.910,2.640,4.280,0.000,0.410,1.220,0.040,0.010,2
2015-02-19 01:40:00,0.984,43.580,26.650,493.760,11.280,6.380,0.000,0.410,1.530,0.190,0.110,2
2015-02-20 01:40:00,1.011,40.820,26.390,490.610,2.410,5.990,0.010,0.430,1.870,-0.120,-0.240,2
2015-02-23 01:40:00,0.961,43.700,25.540,485.570,10.940,9.140,0.180,0.460,3.410,0.230,0.020,2
2015-02-24 01:40:00,1.020,39.830,25.270,465.200,-2.760,2.880,0.170,0.460,3.580,0.000,-0.030,2
2015-02-25 01:40:00,0.993,35.900,24.950,452.780,4.050,-2.840,0.140,0.460,3.560,-0.390,-0.220,2
2015-02-25 01:40:00,1.002,35.900,24.950,452.780,4.050,-2.840,0.140,0.460,3.560,-0.390,-0.220,2
2015-02-26 01:40:00,0.957,39.230,24.690,433.580,-3.500,-0.520,0.150,0.460,3.770,0.270,0.020,2
2015-02-27 01:40:00,0.996,42.300,24.420,421.130,-4.100,-1.110,0.080,0.470,3.480,-0.200,-0.130,2
2015-03-02 01:40:00,0.999,33.080,23.510,373.250,5.250,2.370,0.300,0.530,4.030,0.120,0.160,3
2015-03-03 01:40:00,1.019,29.480,23.160,347.400,-12.130,-6.290,0.340,0.530,4.640,0.420,0.370,3
2015-03-04 01:40:00,1.010,29.990,22.910,332.140,6.960,3.240,0.500,0.560,4.990,-0.160,-0.160,3
2015-03-05 01:40:00,1.027,38.230,22.560,321.770,1.700,5.830,0.410,0.570,4.720,0.320,0.040,3
2015-03-06 01:40:00,1.006,37.420,22.330,302.170,3.870,1.620,0.180,0.570,4.340,-0.130,-0.180,3
2015-11-02 01:40:00,1.004,7.770,13.960,171.450,-1.850,0.560,1.250,1.050,13.750,-0.030,0.160,11
2015-11-03 01:40:00,1.000,7.930,14.380,178.830,-4.330,-4.360,1.210,1.000,13.880,0.450,0.240,11
2015-11-04 01:40:00,0.990,7.180,14.680,192.510,-3.530,-1.720,1.380,0.960,13.380,0.140,0.120,11
2015-11-05 01:40:00,1.032,6.920,15.020,197.620,-5.220,-3.480,1.860,0.910,10.560,-0.650,0.010,11
2015-11-06 01:40:00,0.991,8.680,15.410,201.970,-2.870,-1.040,1.760,0.820,10.280,-0.160,0.070,11
2015-11-09 01:40:00,0.985,15.750,16.450,219.050,-7.090,-4.740,0.820,0.680,7.870,0.120,-0.010,11
2015-11-10 01:40:00,1.013,14.360,16.770,224.070,-2.770,-1.980,0.780,0.670,7.940,0.420,0.290,11
2015-11-11 01:40:00,0.982,13.820,17.080,226.000,-9.120,-2.730,1.080,0.640,7.980,0.880,0.420,11
2015-11-12 01:40:00,1.001,13.980,17.460,240.840,-2.430,1.260,0.770,0.640,7.850,0.910,0.430,11
2015-11-13 01:40:00,1.030,17.110,17.710,250.810,-0.150,-0.500,0.540,0.630,7.440,-0.190,-0.190,11
2015-11-16 01:40:00,0.979,14.560,18.670,287.550,-1.590,2.390,0.830,0.500,6.510,-0.240,0.020,11
2015-11-17 01:40:00,1.035,14.030,18.980,297.380,6.240,2.640,0.820,0.490,5.900,-0.080,-0.040,11
2015-11-18 01:40:00,0.983,12.770,19.300,306.790,2.130,-3.710,0.810,0.470,5.580,-0.120,0.090,11
2015-11-19 01:40:00,0.970,14.460,19.510,317.060,0.050,1.250,0.730,0.470,4.860,-0.280,-0.100,11
2015-11-20 01:40:00,0.971,18.120,19.790,321.670,0.170,0.360,0.590,0.470,5.110,0.410,0.170,11
2015-11-23 01:40:00,1.058,23.990,20.650,326.010,0.890,-0.620,0.130,0.440,3.970,-0.200,-0.050,11
2015-11-24 01:40:00,1.019,22.430,20.830,316.840,-3.660,1.850,0.130,0.430,4.960,0.840,0.310,11
2015-11-25 01:40:00,1.008,19.220,21.120,318.210,7.950,3.660,0.410,0.430,5.190,-0.360,-0.130,11
2015-11-30 01:40:00,1.012,23.160,22.410,301.830,-0.110,0.970,0.510,0.380,4.420,-0.300,-0.210,11
2015-12-01 01:40:00,1.003,21.240,22.600,293.820,-3.540,-1.200,0.550,0.380,4.580,0.080,0.320,12
2015-12-02 01:40:00,0.990,21.320,22.850,287.110,-11.390,-4.020,0.580,0.380,4.460,0.080,-0.030,12
2015-12-03 01:40:00,1.018,22.640,23.010,292.860,-0.920,-1.520,0.270,0.380,4.480,0.300,0.170,12
2015-12-04 01:40:00,0.998,22.700,23.210,286.840,-4.880,-5.710,0.260,0.380,4.700,0.120,0.050,12
2015-12-07 01:40:00,0.970,20.210,23.880,300.040,-1.750,1.340,0.210,0.370,4.300,-0.040,-0.160,12
2015-12-08 01:40:00,1.022,18.720,24.050,303.750,-3.610,-0.750,0.190,0.370,4.210,0.070,-0.220,12
2015-12-09 01:40:00,0.983,16.840,24.250,310.890,9.340,10.710,0.260,0.360,5.250,0.520,0.230,12
2015-12-10 01:40:00,0.980,14.780,24.480,309.980,-5.790,-3.080,0.420,0.360,5.470,0.120,-0.060,12
2015-12-11 01:40:00,1.000,15.260,24.660,307.210,-4.110,-1.820,0.600,0.360,5.820,0.380,0.170,12
2015-12-14 01:40:00,1.009,15.310,25.370,298.850,-16.410,-8.540,0.650,0.350,6.480,1.550,1.060,12
2015-12-15 01:40:00,0.971,19.490,25.510,302.750,-15.400,-9.820,0.570,0.340,6.350,0.490,0.210,12
2015-12-16 01:40:00,1.030,21.240,25.660,297.600,-6.850,-3.970,0.550,0.330,7.460,0.540,0.420,12
2015-12-17 01:40:00,0.949,23.570,25.800,298.430,-3.330,-4.070,0.610,0.330,8.270,0.590,0.420,12
2015-12-18 01:40:00,1.027,27.090,26.050,308.830,-2.590,-1.690,0.210,0.330,8.420,0.490,0.240,12
2015-12-21 01:40:00,1.065,20.090,26.550,311.610,-13.070,-4.780,0.510,0.300,8.860,1.210,0.210,12
2015-12-22 01:40:00,1.009,17.110,26.780,330.470,3.040,2.360,0.580,0.300,9.270,1.070,0.330,12
2015-12-23 01:40:00,1.052,14.810,27.000,350.550,0.800,-1.850,0.860,0.300,8.930,0.280,-0.010,12
2015-12-24 01:40:00,1.001,16.490,27.100,380.920,4.210,8.510,1.140,0.280,8.050,0.430,0.100,12
2015-12-28 01:40:00,1.062,26.090,27.830,414.140,-4.640,-3.920,0.720,0.240,3.970,0.140,0.170,12
2015-12-29 01:40:00,1.029,26.020,27.960,417.800,-0.450,4.300,0.760,0.240,4.090,0.310,-0.030,12
2015-12-29 01:40:00,0.981,26.020,27.960,417.800,-0.450,4.300,0.760,0.240,4.090,0.310,-0.030,12
2015-12-30 01:40:00,1.000,27.250,28.160,405.120,-3.820,-4.460,0.760,0.220,3.640,0.120,0.110,12
2015-12-31 01:40:00,0.988,28.870,28.280,453.000,29.210,12.190,0.600,0.200,2.080,-0.660,-0.250,12
2016-01-04 01:40:00,0.992,33.420,28.840,443.540,-11.350,-10.270,0.020,0.160,1.210,0.000,0.110,1
2016-01-05 01:40:00,1.025,33.540,29.040,437.520,2.680,0.820,0.050,0.160,1.170,0.030,-0.050,1
2016-01-06 01:40:00,0.987,29.540,29.110,432.870,-5.830,-3.100,0.080,0.160,1.090,-0.030,-0.040,1
2016-01-07 01:40:00,1.042,26.120,29.190,427.630,-2.470,1.750,0.100,0.160,1.170,0.100,0.070,1
2016-01-08 01:40:00,1.033,25.040,29.330,443.160,8.640,4.790,0.200,0.140,1.070,0.010,0.060,1
