gfsen_public_time,Normal_vwap,VALUE_hdd,10Y_NORMAL_hdd,Sum_Value_hdd,Delta_Full_hdd,Delta_Sub_hdd,VALUE_cdd,10Y_NORMAL_cdd,Sum_Value_cdd,Delta_Full_cdd,Delta_Sub_cdd,Month
2015-01-28 12:28:00,1.015,28.300,29.740,500.660,-27.740,-19.920,0.010,0.220,0.630,-0.290,-0.180,1
2015-01-29 12:28:00,1.053,32.770,29.670,502.080,12.690,6.690,0.020,0.230,0.620,-0.270,-0.280,1
2015-01-30 12:28:00,1.013,32.840,29.610,510.220,21.620,20.110,0.010,0.240,0.820,-0.390,-0.450,1
2015-02-02 12:28:00,0.992,34.870,29.320,464.600,22.560,20.900,0.010,0.270,0.320,-0.350,-0.410,2
2015-02-03 12:28:00,0.978,31.540,29.190,498.390,34.140,24.040,0.080,0.290,0.270,-0.420,-0.410,2
2015-02-04 12:28:00,1.041,37.370,29.080,467.770,1.880,2.250,0.100,0.290,0.540,-0.270,-0.300,2
2015-02-05 12:28:00,1.024,33.210,28.980,469.020,-5.900,-4.470,0.000,0.290,0.290,-0.330,-0.370,2
2015-02-06 12:28:00,1.008,25.360,28.860,483.480,3.920,6.570,0.030,0.310,0.320,-0.400,-0.410,2
2015-02-09 12:28:00,1.024,28.930,28.420,521.700,16.380,18.130,0.010,0.340,0.320,-0.570,-0.560,2
2015-02-10 12:28:00,0.978,29.590,28.320,550.850,32.760,27.810,0.010,0.350,0.340,-0.500,-0.550,2
2015-02-11 12:28:00,0.962,35.320,28.040,564.210,20.080,15.170,0.000,0.350,0.790,-0.380,-0.210,2
2015-02-12 12:28:00,1.046,35.880,27.850,544.200,0.510,2.400,0.000,0.350,0.690,-0.400,-0.440,2
2015-02-13 12:28:00,0.970,34.600,27.660,560.060,9.000,11.080,0.010,0.350,0.540,-0.500,-0.490,2
2015-02-17 12:28:00,1.021,40.950,26.820,524.420,-0.690,1.080,0.000,0.410,1.660,-0.720,-0.690,2
2015-02-18 12:28:00,0.980,44.230,26.650,515.370,0.910,2.430,0.000,0.410,1.550,-0.460,-0.510,2
2015-02-19 12:28:00,0.995,41.090,26.390,531.010,12.040,8.970,0.020,0.430,2.000,-0.250,-0.280,2
2015-02-20 12:28:00,0.956,32.540,26.150,540.340,1.460,8.220,0.090,0.430,2.340,-0.650,-0.890,2
2015-02-23 12:28:00,1.031,40.810,25.270,520.480,-7.210,2.680,0.160,0.460,3.170,0.060,-0.330,2
2015-02-24 12:28:00,0.990,37.390,24.950,507.350,12.440,12.080,0.170,0.460,3.070,-0.640,-0.650,2
2015-02-25 12:28:00,1.000,40.320,24.690,475.890,-3.890,3.270,0.200,0.460,3.800,-0.000,-0.160,2
2015-02-25 12:28:00,1.016,40.320,24.690,475.890,-3.890,3.270,0.200,0.460,3.800,-0.000,-0.160,2
2015-02-26 12:28:00,1.070,42.870,24.420,453.920,9.070,9.870,0.090,0.470,3.920,-1.520,-1.420,2
2015-02-27 12:28:00,0.989,40.780,24.090,420.980,-13.740,-11.830,0.200,0.480,4.060,-0.560,-0.270,2
2015-03-02 12:28:00,1.000,29.720,23.160,377.010,-12.600,-7.000,0.440,0.530,4.010,0.060,0.000,3
2015-03-03 12:28:00,0.979,30.720,22.910,377.020,-4.250,-1.210,0.580,0.560,5.000,0.060,-0.010,3
2015-03-04 12:28:00,0.980,38.920,22.560,361.500,-1.110,-4.210,0.490,0.570,5.510,-0.560,-0.410,3
2015-03-05 12:28:00,0.977,38.670,22.330,333.320,-12.020,-8.870,0.210,0.570,5.310,-0.720,-0.660,3
2015-03-06 12:28:00,0.997,28.430,21.850,320.150,10.520,6.140,0.170,0.580,4.700,-0.800,-0.800,3
2015-03-09 13:28:00,1.037,17.730,21.030,277.170,-0.210,0.330,0.570,0.600,6.880,-0.280,-0.550,3
2015-03-10 13:28:00,0.985,17.200,20.710,280.180,-1.000,1.710,0.700,0.600,6.070,-1.170,-0.810,3
2015-03-11 13:28:00,0.963,18.140,20.470,285.580,-2.890,-4.100,0.690,0.610,6.060,-0.340,-0.530,3
2015-03-12 13:28:00,1.034,17.260,20.150,283.960,-7.110,-0.750,0.650,0.610,5.110,-0.100,-0.500,3
2015-03-13 13:28:00,1.007,14.850,19.870,292.060,0.680,0.630,0.920,0.610,5.410,-0.590,-0.610,3
2015-03-16 13:28:00,0.995,17.200,19.000,285.630,5.090,3.880,0.920,0.700,6.330,-0.670,-0.710,3
2015-03-17 13:28:00,0.960,20.990,18.720,298.760,1.710,4.060,0.610,0.720,6.500,-0.420,-0.680,3
2015-03-18 13:28:00,0.976,19.790,18.420,288.820,0.980,0.220,0.870,0.730,6.460,-0.630,-0.940,3
2015-03-19 13:28:00,1.033,17.870,18.160,286.280,2.820,2.800,0.900,0.760,6.550,-0.940,-1.020,3
2015-03-20 13:28:00,1.015,18.030,17.860,287.970,-0.560,-0.420,0.830,0.770,6.900,-0.690,-0.370,3
2015-03-23 13:28:00,1.001,21.500,17.070,285.590,8.770,12.520,0.710,0.830,9.110,-1.100,-1.390,3
2015-03-24 13:28:00,0.987,16.320,16.790,272.740,7.620,5.450,0.860,0.840,7.920,-2.310,-1.780,3
2015-03-25 13:28:00,1.022,16.800,16.580,260.310,4.330,3.750,0.900,0.880,9.500,-0.380,-0.340,3
2015-03-26 13:28:00,1.022,22.700,16.240,260.230,5.120,3.850,0.740,0.920,10.190,-0.590,-1.120,3
2015-03-27 13:28:00,1.027,23.880,16.050,250.260,5.730,1.000,0.310,0.940,11.090,-0.160,0.300,3
2015-03-30 13:28:00,0.995,15.130,15.320,215.790,4.800,3.880,1.040,1.010,12.460,-2.010,-1.860,3
2015-03-31 13:28:00,1.000,15.360,15.060,209.470,3.350,3.300,1.190,1.020,14.670,-0.200,-0.340,3
2015-04-01 13:28:00,1.013,12.950,14.710,218.670,7.530,5.000,1.510,1.020,14.100,-0.840,-1.550,4
2015-04-02 13:28:00,0.959,13.410,14.490,205.890,14.460,6.540,1.270,1.040,14.340,-3.520,-2.570,4
2015-04-06 13:28:00,1.008,13.020,13.600,180.130,-3.090,2.080,2.060,1.240,18.340,-0.610,-1.770,4
2015-04-07 13:28:00,0.991,13.090,13.330,170.710,-5.950,-3.990,2.450,1.280,18.400,1.180,-0.100,4
2015-04-08 13:28:00,1.016,11.230,13.080,169.050,3.010,4.090,2.330,1.290,16.230,-1.630,-1.680,4
2015-04-09 13:28:00,1.036,11.980,12.750,168.570,-2.180,-1.270,1.170,1.320,13.640,-1.770,-1.540,4
2015-04-10 13:28:00,1.011,13.540,12.520,168.750,-3.200,2.510,1.120,1.350,15.010,-0.880,-1.150,4
2015-04-13 13:28:00,0.991,11.380,11.780,172.450,-3.230,0.610,1.530,1.470,16.340,-0.670,-1.680,4
2015-04-14 13:28:00,0.991,11.400,11.540,182.920,6.200,4.050,1.330,1.530,16.620,-0.530,-0.720,4
2015-04-15 13:28:00,0.969,10.260,11.320,183.960,4.330,3.700,1.440,1.550,18.720,0.040,-0.320,4
2015-04-16 13:28:00,0.970,6.320,11.070,181.180,1.550,-0.630,1.740,1.590,18.020,-2.010,-1.340,4
